Time,O2
0,7.17
1,7.17
2,7.18
3,7.16
4,7.2
5,7.2
6,7.16
7,7.16
8,7.19
9,7.18
10,7.18
11,7.18
12,7.18
13,7.18
14,7.18
15,7.21
16,7.2
17,7.2
18,7.2
19,7.2
20,7.23
21,7.22
22,7.21
23,7.19
24,7.19
25,7.18
26,7.18
27,7.17
28,7.13
29,7.13
30,7.13
31,7.13
32,7.16
33,7.15
34,7.15
35,7.14
36,7.13
37,7.13
38,7.12
39,7.06
40,7.1
41,7.11
42,7.11
43,7.11
44,7.08
45,7.08
46,7.09
47,7.1
48,7.1
49,7.11
50,7.11
51,7.11
52,7.11
53,7.11
54,7.11
55,7.11
56,7.12
57,7.12
58,7.13
59,7.13
60,7.13
61,7.13
62,7.13
63,7.14
64,7.14
65,7.13
66,7.13
67,7.13
68,7.13
69,7.1
70,7.13
71,7.12
72,7.11
73,7.11
74,7.05
75,7.05
76,7.06
77,7.06
78,7.06
79,7.07
80,7.07
81,7.07
82,7.08
83,7.07
84,7.07
85,7.07
86,7.07
87,7.09
88,7.08
89,7.08
90,7.08
91,7.08
92,7.08
93,7.05
94,7.06
95,7.09
96,7.09
97,7.09
98,7.09
99,7.09
100,7.08
101,7.08
102,7.05
103,7.05
104,7.1
105,7.1
106,7.11
107,7.12
108,7.11
109,7.11
110,7.11
111,7.11
112,7.1
113,7.12
114,7.08
115,7.08
116,7.09
117,7.09
118,7.09
119,7.09
120,7.09
121,7.08
122,7.05
123,7.04
124,7.05
125,7.05
126,7.05
127,7.04
128,7.07
129,7.06
130,7.05
131,7.05
132,7.05
133,7.05
134,7.05
135,7.04
136,7.05
137,7.03
138,7.03
139,7.04
140,7.04
141,7.04
142,7.07
143,7.07
144,7.09
145,7.08
146,7.08
147,7.08
148,7.08
149,7.08
150,7.05
151,7.09
152,7.09
153,7.09
154,7.09
155,7.09
156,7.08
157,7.08
158,7.08
159,7.08
160,7.08
161,7.08
162,7.08
163,7.08
164,7.08
165,7.07
166,7.07
167,7.06
168,7.06
169,7.09
170,7.08
171,7.08
172,7.07
173,7.07
174,7.06
175,7.06
176,7.06
177,7.05
178,7.05
179,7.04
180,7.04
181,7.07
182,7.07
183,7.06
184,7.06
185,7.06
186,7.01
187,7.02
188,7.02
189,7.03
190,7.02
191,7.03
192,7.02
193,7.04
194,7.04
195,7.04
196,7.04
197,7.05
198,7.05
199,7.05
200,7.05
201,7.05
202,7.05
203,7.05
204,7.05
205,7.06
206,7.05
207,7.08
208,7.07
209,7.07
210,7.06
211,7.06
212,7.05
213,7.05
214,7.05
215,7.05
216,7.05
217,6.99
218,7
219,7
220,7
221,6.99
222,7.01
223,7.01
224,7.02
225,6.99
226,6.99
227,7
228,7
229,7.01
230,7
231,7
232,6.99
233,7
234,6.99
235,6.99
236,6.99
237,6.99
238,6.99
239,6.99
240,6.99
241,6.98
242,6.99
243,6.99
244,6.99
245,7
246,7
247,7
248,7.01
249,7.02
250,7.02
251,7.03
252,7.03
253,7.03
254,7.02
255,7.02
256,7.01
257,7.01
258,7.01
259,7.01
260,7.01
261,7.02
262,7.02
263,7.02
264,7.01
265,7.01
266,7
267,7
268,7
269,7.01
270,7.01
271,7
272,7.02
273,7.01
274,7.01
275,7
276,7.01
277,7
278,7
279,7
280,7
281,7.02
282,7.02
283,7.01
284,7.01
285,7.01
286,7.01
287,7.03
288,7.03
289,7.02
290,7.03
291,7.03
292,7.02
293,7.01
294,7
295,7
296,6.99
297,6.99
298,6.98
299,6.98
300,6.98
301,6.98
302,6.98
303,6.98
304,6.99
305,6.98
306,6.98
307,6.99
308,6.98
309,6.98
310,6.97
311,6.97
312,6.97
313,6.99
314,6.96
315,6.96
316,6.96
317,6.92
318,6.93
319,6.93
320,6.9
321,6.91
322,6.91
323,6.92
324,6.93
325,6.93
326,6.95
327,6.95
328,6.96
329,6.96
330,6.96
331,6.98
332,6.97
333,6.97
334,6.97
335,6.97
336,6.96
337,6.96
338,6.96
339,6.96
340,6.94
341,6.96
342,6.95
343,6.95
344,6.95
345,6.95
346,6.94
347,6.94
348,6.94
349,6.94
350,6.94
351,6.93
352,6.93
353,6.92
354,6.87
355,6.87
356,6.88
357,6.88
358,6.89
359,6.9
360,6.9
361,6.91
362,6.91
363,6.91
364,6.91
365,6.91
366,6.9
367,6.9
368,6.91
369,6.91
370,6.92
371,6.91
372,6.92
373,6.92
374,6.92
375,6.92
376,6.94
377,6.94
378,6.93
379,6.92
380,6.92
381,6.92
382,6.92
383,6.92
384,6.92
385,6.91
386,6.91
387,6.91
388,6.9
389,6.9
390,6.9
391,6.91
392,6.91
393,6.91
394,6.91
395,6.92
396,6.91
397,6.91
398,6.9
399,6.9
400,6.89
401,6.9
402,6.9
403,6.9
404,6.9
405,6.9
406,6.89
407,6.89
408,6.89
409,6.88
410,6.88
411,6.88
412,6.88
413,6.88
414,6.88
415,6.89
416,6.89
417,6.87
