time,o2
0,7.64
0.2,7.6
0.3,7.6
0.5,7.6
0.7,7.6
0.8,7.61
1,7.56
1.2,7.59
1.3,7.59
1.5,7.59
1.7,7.59
1.8,7.6
2,7.59
2.2,7.58
2.3,7.59
2.5,7.6
2.7,7.59
2.8,7.58
3,7.55
3.2,7.56
3.3,7.58
3.5,
3.7,7.58
3.8,7.55
4,
4.2,7.55
4.3,7.56
4.5,7.59
4.7,7.57
4.8,7.58
5,7.6
5.2,7.56
5.3,7.56
5.5,7.56
5.7,7.55
5.8,7.54
6,7.55
6.2,7.55
6.3,7.55
6.5,7.57
6.7,7.52
6.8,7.52
7,7.54
7.2,7.54
7.3,7.54
7.5,7.54
7.7,7.49
7.8,7.53
8,7.55
8.2,7.54
8.3,7.55
8.5,7.51
8.7,7.52
8.8,7.55
9,7.55
9.2,7.51
9.3,7.51
9.5,7.55
9.7,7.54
9.8,7.53
10,7.51
10.2,7.48
10.3,7.51
10.5,7.5
10.7,7.5
10.8,7.51
11,7.5
11.2,7.5
11.3,7.48
11.5,7.47
11.7,
11.8,7.5
12,7.47
12.2,7.5
12.3,7.48
12.5,7.47
12.7,7.44
12.8,7.51
13,7.49
13.2,7.49
13.3,7.47
13.5,7.46
13.7,7.46
13.8,7.44
14,7.47
14.2,7.47
14.3,7.48
14.5,7.48
14.7,7.45
14.8,7.46
15,7.45
15.2,7.47
15.3,7.45
15.5,7.45
15.7,7.44
15.8,7.45
16,7.44
16.2,7.43
16.3,7.45
16.5,7.45
16.7,7.45
16.8,7.44
17,7.45
17.2,7.45
17.3,7.42
17.5,7.45
17.7,7.42
17.8,7.43
18,7.41
18.2,7.41
18.3,7.47
18.5,
18.7,7.4
18.8,7.42
19,7.4
19.2,7.4
19.3,7.4
19.5,7.42
19.7,7.41
19.8,7.4
20,7.41
20.2,7.4
20.3,7.41
20.5,7.4
20.7,7.38
20.8,7.41
21,7.39
21.2,7.4
21.3,7.38
21.5,7.41
21.7,7.4
21.8,7.42
22,7.4
22.2,7.37
22.3,7.35
22.5,7.36
22.7,7.38
22.8,7.37
23,7.38
23.2,7.36
23.3,7.35
23.5,7.37
23.7,7.35
23.8,7.36
24,7.36
24.2,7.38
24.3,7.34
24.5,7.33
24.7,7.35
24.8,7.38
25,7.35
25.2,7.35
25.3,7.36
25.5,7.37
25.7,7.36
25.8,7.32
26,7.36
26.2,7.34
26.3,7.32
26.5,7.33
26.7,7.33
26.8,7.33
27,7.32
27.2,7.31
27.3,7.32
27.5,7.32
27.7,7.36
27.8,7.32
28,7.32
28.2,7.3
28.3,7.33
28.5,7.34
28.7,7.3
28.8,7.3
29,7.31
29.2,7.32
29.3,7.33
29.5,7.31
29.7,7.28
29.8,7.3
30,7.32
30.2,7.28
30.3,7.31
30.5,7.31
30.7,7.31
30.8,7.29
31,7.3
31.2,7.28
31.3,7.27
31.5,7.29
31.7,7.28
31.8,7.3
32,7.3
32.2,7.3
32.3,7.28
32.5,7.26
32.7,7.28
32.8,7.27
33,7.28
33.2,7.26
33.3,7.24
33.5,7.25
33.7,7.27
33.8,7.27
34,7.26
34.2,7.27
34.3,7.28
34.5,7.27
34.7,7.27
34.8,7.26
35,7.23
35.2,7.26
35.3,
35.5,7.26
35.7,7.27
35.8,7.25
36,7.27
36.2,7.27
36.3,7.26
36.5,7.24
36.7,7.23
36.8,7.24
37,7.26
37.2,7.24
37.3,7.22
37.5,7.22
37.7,7.24
37.8,7.21
38,7.24
38.2,7.26
38.3,7.22
38.5,7.22
38.7,7.21
38.8,7.19
39,7.21
39.2,7.2
39.3,7.23
39.5,7.22
39.7,7.19
39.8,7.19
40,7.19
40.2,7.2
40.3,7.18
40.5,7.18
40.7,7.21
40.8,7.17
41,7.17
41.2,7.17
41.3,7.2
41.5,7.23
41.7,7.22
41.8,7.21
42,7.18
42.2,7.18
42.3,7.18
42.5,7.18
42.7,7.17
42.8,7.18
43,7.18
43.2,7.17
43.3,7.18
43.5,7.2
43.7,7.16
43.8,7.18
44,7.16
44.2,7.17
44.3,7.18
44.5,7.15
44.7,7.18
44.8,7.18
45,7.16
