Name,Description
**Functions**,
"`inspect.data()`	",Check data frame for structural errors that affect further analysis.
`calc.bg.rate()`,Calculate background RO~2~ from one or more data columns.
`calc.rate()`,Calculate background RO~2~ from one or more data columns.
`auto.rate()`,"Calculate BMR, MMR, ""interval"" rate, or ""best-fit"" rate."
`convert.rate()`,Convert between units of RO2 (not MO2).
`scale.rate()`,Convert R~O2~ values to volume- and/or mass-specific MO~2~.
`pcrit()`,Calculate critical oxygen tension as described in Yeager & Ultsch (1989).
`subsample()`,Reduce the size of a large data frame by extracting every n-th row.
**Data files**,
`intermittent`,This
`sardine`,Is 
`pcrit`,Something
