Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2013-05-23 13:02:39.7, 99.30429, 2.291287, 12.21797, 101.8362
2013-05-23 13:02:41.5, 99.38443, 2.290972, 12.22092, 101.8347
2013-05-23 13:02:42.5, 99.39059, 2.290948, 12.22278, 101.8345
2013-05-23 13:02:44.3, 99.35989, 2.291068, 12.22522, 101.8325
2013-05-23 13:02:45.4, 99.36734, 2.291039, 12.22581, 101.8323
2013-05-23 13:02:46.5, 99.2446, 2.291522, 12.22595, 101.8335
2013-05-23 13:02:47.6, 99.37143, 2.291023, 12.22539, 101.8333
2013-05-23 13:02:48.7, 99.19888, 2.291702, 12.22459, 101.8323
2013-05-23 13:02:49.9, 99.23819, 2.291547, 12.22371, 101.8333
2013-05-23 13:02:50.9, 99.23288, 2.291568, 12.2231, 101.8335
2013-05-23 13:02:52.5, 99.23001, 2.291579, 12.2218, 101.8325
2013-05-23 13:02:54.0, 99.15768, 2.291864, 12.22116, 101.8313
2013-05-23 13:02:55.1, 99.12393, 2.291996, 12.22067, 101.832
2013-05-23 13:02:56.1, 99.01376, 2.29243, 12.21996, 101.8323
2013-05-23 13:02:57.4, 98.99454, 2.292506, 12.21962, 101.8335
2013-05-23 13:02:58.4, 99.02328, 2.292392, 12.2197, 101.8354
2013-05-23 13:02:59.4, 98.97739, 2.292573, 12.2195, 101.8364
2013-05-23 13:03:00.7, 99.04135, 2.292321, 12.21986, 101.8386
2013-05-23 13:03:02.0, 99.03519, 2.292346, 12.22, 101.8435
2013-05-23 13:03:03.1, 98.90372, 2.292863, 12.21982, 101.8459
2013-05-23 13:03:04.8, 99.01749, 2.292415, 12.22021, 101.8459
2013-05-23 13:03:05.8, 99.04581, 2.292304, 12.22012, 101.8442
2013-05-23 13:03:06.8, 98.91287, 2.292827, 12.22023, 101.8438
2013-05-23 13:03:07.9, 98.99686, 2.292496, 12.22063, 101.8396
2013-05-23 13:03:09.0, 98.8873, 2.292928, 12.22156, 101.8386
2013-05-23 13:03:10.1, 98.79544, 2.29329, 12.22171, 101.8362
2013-05-23 13:03:11.3, 98.79514, 2.293291, 12.22229, 101.834
2013-05-23 13:03:12.4, 98.85104, 2.293071, 12.22319, 101.832
2013-05-23 13:03:13.4, 98.70956, 2.293628, 12.22386, 101.8315
2013-05-23 13:03:15.0, 98.60818, 2.294028, 12.22366, 101.8296
2013-05-23 13:03:16.2, 98.60696, 2.294032, 12.22423, 101.8296
2013-05-23 13:03:17.3, 98.83633, 2.293129, 12.22479, 101.8306
2013-05-23 13:03:18.4, 98.6608, 2.29382, 12.22466, 101.8313
2013-05-23 13:03:19.9, 98.76022, 2.293428, 12.22459, 101.8301
2013-05-23 13:03:21.0, 98.67929, 2.293747, 12.22406, 101.8298
2013-05-23 13:03:22.1, 98.57236, 2.294169, 12.22346, 101.8279
2013-05-23 13:03:23.2, 98.70828, 2.293633, 12.22267, 101.8274
2013-05-23 13:03:24.5, 98.42941, 2.294732, 12.222, 101.8291
2013-05-23 13:03:26.3, 98.4545, 2.294633, 12.22002, 101.8311
2013-05-23 13:03:27.9, 98.47794, 2.294541, 12.21837, 101.8318
2013-05-23 13:03:29.3, 98.46304, 2.2946, 12.21693, 101.8342
2013-05-23 13:03:30.4, 98.41928, 2.294772, 12.21573, 101.8347
2013-05-23 13:03:31.5, 98.56326, 2.294204, 12.2148, 101.8352
2013-05-23 13:03:32.5, 98.32266, 2.295154, 12.21385, 101.8357
2013-05-23 13:03:33.9, 98.36588, 2.294983, 12.21266, 101.8362
2013-05-23 13:03:35.2, 98.37796, 2.294935, 12.21248, 101.8354
2013-05-23 13:03:36.3, 98.33817, 2.295092, 12.21275, 101.834
2013-05-23 13:03:37.3, 98.41257, 2.294799, 12.21297, 101.8333
2013-05-23 13:03:38.4, 98.28635, 2.295297, 12.21262, 101.8342
2013-05-23 13:03:39.4, 98.26212, 2.295392, 12.21242, 101.8345
2013-05-23 13:03:40.5, 98.29916, 2.295246, 12.21237, 101.8354
2013-05-23 13:03:41.5, 98.22464, 2.29554, 12.21219, 101.8357
2013-05-23 13:03:42.7, 98.18472, 2.295698, 12.21271, 101.8364
2013-05-23 13:03:43.8, 98.22598, 2.295535, 12.21335, 101.8354
2013-05-23 13:03:45.2, 98.26395, 2.295385, 12.21443, 101.8354
2013-05-23 13:03:46.2, 98.20914, 2.295602, 12.21492, 101.8367
2013-05-23 13:03:47.2, 98.14206, 2.295866, 12.2151, 101.8379
2013-05-23 13:03:48.7, 98.10019, 2.296031, 12.21635, 101.8376
2013-05-23 13:03:49.7, 98.20377, 2.295623, 12.21739, 101.8359
2013-05-23 13:03:51.0, 98.14676, 2.295848, 12.21841, 101.8364
2013-05-23 13:03:52.2, 98.02682, 2.296321, 12.21912, 101.8354
2013-05-23 13:03:53.7, 98.04099, 2.296265, 12.21948, 101.8369
2013-05-23 13:03:54.8, 97.9072, 2.296794, 12.21902, 101.8367
2013-05-23 13:03:56.0, 97.91257, 2.296773, 12.21858, 101.8379
2013-05-23 13:03:57.3, 97.91971, 2.296745, 12.21838, 101.8367
2013-05-23 13:03:58.3, 98.01932, 2.296351, 12.21815, 101.8372
2013-05-23 13:03:59.7, 98.0275, 2.296319, 12.21786, 101.8381
2013-05-23 13:04:00.9, 97.9404, 2.296663, 12.21762, 101.8374
