Date & time of file creation	5/11/2017 9:23 AM							
Data file path	C:\Users\nbalfour\Documents\Banet lab laptop transfer\Swim Tunnel Data\Hopkins\sardine test 3 small tunnel.txt							
								
								
CALIBRATION DATA								
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]
SDWA0003000060      , CH 1	1	59.89	29.23	0.00	100.00	20.91	14.16	0.000
								
								
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWA0003000060      , CH 1 phase [r.U.]	SDWA0003000060      , CH 1 temp [°C]	SDWA0003000060      , CH 1 O2 [mg/L]			
5/11/2017 9:24:04 AM	3577364644	1013.00	29.58	14.01	10.056
5/11/2017 9:24:05 AM	3577364645	1013.00	29.58	14.11	10.015
5/11/2017 9:24:06 AM	3577364646	1013.00	29.57	14.14	10.012
5/11/2017 9:24:07 AM	3577364647	1013.00	29.59	14.06	10.027
5/11/2017 9:24:08 AM	3577364648	1013.00	29.58	14.07	10.032
5/11/2017 9:24:09 AM	3577364649	1013.00	29.58	13.97	10.073
5/11/2017 9:24:10 AM	3577364650	1013.00	29.59	13.85	10.114
5/11/2017 9:24:11 AM	3577364651	1013.00	29.59	13.85	10.114
5/11/2017 9:24:12 AM	3577364652	1013.00	29.58	13.90	10.102
5/11/2017 9:24:13 AM	3577364653	1013.00	29.59	13.94	10.076
5/11/2017 9:24:14 AM	3577364654	1013.00	29.60	14.04	10.026
5/11/2017 9:24:15 AM	3577364655	1013.00	29.57	14.07	10.041
5/11/2017 9:24:16 AM	3577364656	1013.00	29.59	14.04	10.035
5/11/2017 9:24:17 AM	3577364657	1013.00	29.59	14.10	10.010
5/11/2017 9:24:18 AM	3577364658	1013.00	29.59	14.08	10.018
5/11/2017 9:24:19 AM	3577364659	1013.00	29.57	14.05	10.049
5/11/2017 9:24:20 AM	3577364660	1013.00	29.58	14.09	10.023
5/11/2017 9:24:21 AM	3577364661	1013.00	29.57	14.10	10.028
5/11/2017 9:24:22 AM	3577364662	1013.00	29.58	13.97	10.073
5/11/2017 9:24:23 AM	3577364663	1013.00	29.59	13.92	10.084
5/11/2017 9:24:24 AM	3577364664	1013.00	29.60	13.88	10.092
5/11/2017 9:24:25 AM	3577364665	1013.00	29.59	13.91	10.089
5/11/2017 9:24:26 AM	3577364666	1013.00	29.58	13.87	10.114
5/11/2017 9:24:27 AM	3577364667	1013.00	29.60	13.94	10.067
5/11/2017 9:24:28 AM	3577364668	1013.00	29.59	13.90	10.093
5/11/2017 9:24:29 AM	3577364669	1013.00	29.56	13.92	10.112
5/11/2017 9:24:30 AM	3577364670	1013.00	29.58	13.85	10.123
5/11/2017 9:24:31 AM	3577364671	1013.00	29.59	13.84	10.118
5/11/2017 9:24:32 AM	3577364672	1013.00	29.60	13.81	10.121
5/11/2017 9:24:33 AM	3577364673	1013.00	29.60	13.84	10.109
5/11/2017 9:24:34 AM	3577364674	1013.00	29.60	13.88	10.092
5/11/2017 9:24:35 AM	3577364675	1013.00	29.58	13.85	10.123
5/11/2017 9:24:36 AM	3577364676	1013.00	29.60	13.92	10.075
5/11/2017 9:24:37 AM	3577364677	1013.00	29.61	13.91	10.070
5/11/2017 9:24:38 AM	3577364678	1013.00	29.59	13.87	10.105
5/11/2017 9:24:39 AM	3577364679	1013.00	29.59	13.84	10.118
5/11/2017 9:24:40 AM	3577364680	1013.00	29.60	13.88	10.092
5/11/2017 9:24:41 AM	3577364681	1013.00	29.60	13.86	10.100
5/11/2017 9:24:42 AM	3577364682	1013.00	29.59	13.88	10.101
5/11/2017 9:24:43 AM	3577364683	1013.00	29.60	13.95	10.063
5/11/2017 9:24:44 AM	3577364684	1013.00	29.60	13.98	10.051
5/11/2017 9:24:45 AM	3577364685	1013.00	29.60	13.94	10.067
5/11/2017 9:24:46 AM	3577364686	1013.00	29.60	13.94	10.067
5/11/2017 9:24:47 AM	3577364687	1013.00	29.58	13.96	10.077
5/11/2017 9:24:48 AM	3577364688	1013.00	29.60	13.92	10.075
5/11/2017 9:24:49 AM	3577364689	1013.00	29.59	13.94	10.076
5/11/2017 9:24:50 AM	3577364690	1013.00	29.59	13.98	10.060
5/11/2017 9:24:51 AM	3577364691	1013.00	29.60	13.91	10.080
5/11/2017 9:24:52 AM	3577364692	1013.00	29.60	13.90	10.084
5/11/2017 9:24:53 AM	3577364693	1013.00	29.61	13.90	10.075
5/11/2017 9:24:54 AM	3577364694	1013.00	29.61	13.88	10.083
5/11/2017 9:24:55 AM	3577364695	1013.00	29.59	13.91	10.089
5/11/2017 9:24:56 AM	3577364696	1013.00	29.61	14.03	10.021
5/11/2017 9:24:57 AM	3577364697	1013.00	29.62	14.10	9.983
5/11/2017 9:24:58 AM	3577364698	1013.00	29.61	13.99	10.037
5/11/2017 9:24:59 AM	3577364699	1013.00	29.60	14.07	10.014
5/11/2017 9:25:00 AM	3577364700	1013.00	29.61	13.95	10.054
5/11/2017 9:25:01 AM	3577364701	1013.00	29.60	13.88	10.092
