6/09/2017/5:40 PM SW ver:OXY10v3_33									
Header Ch-3									
Description: 									
IDENTIFICATION									
PHIboard number   : v1232742									
PM number         : 00000000									
Serial number     : S DLK 0001 000036   									
MUX channel       : ON - 03									
									
PARAMETERS									
Signal LED current: 050									
Ref LED current   : 074									
Ref LED amplitude : 102403									
Frequency         : 006									
Sending interval  : 0001									
Averaging         : 2									
Internal temp     : 20.0 C									
									
SYSTEM SETTINGS									
APL function      : ON									
Temp compensation : OFF									
Analog out        : OFF									
RS232 echo        : OFF									
Oxygen unit       : %a.s.									
									
CALIBRATION									
Sensor type       : 2									
0%a.s.phase 1     : 44.27 at 024.0°C amp 138600									
100.00%a.s.phase 2: 26.97 at 024.0°C amp 076300									
Date   (ddmmyy)   : 280817									
Pressure (mBar)   : 1013									
									
FIRMWARE									
Code 3.016 (IAP)  : 08/20/04	 09:50:56								101.01
Xilinx built      : 01/05/04 (MM/DD/YY)									100.82
									100.6
Pressure [hPa]: 1013									100.44
Date/dd:mm:yy	Time/hh:mm:ss	Logtime/min	Oxy/% air sat.	Phase/°	Amp	Temp/°C			99.97
6/09/2017	5:40:46 PM	0	101.01	26.87	81214	24			99.64
6/09/2017	5:41:01 PM	0.25	100.82	26.89	81295	24			100.02
6/09/2017	5:41:16 PM	0.5	100.6	26.91	81401	24			99.39
6/09/2017	5:41:31 PM	0.75	100.44	26.93	81477	24			99.46
6/09/2017	5:41:46 PM	1	99.97	26.97	81548	24			99.04
6/09/2017	5:42:01 PM	1.25	99.64	27	81688	24			98.95
6/09/2017	5:42:16 PM	1.5	100.02	26.96	81755	24			98.67
6/09/2017	5:42:31 PM	1.75	99.39	27.02	81815	24			99.21
6/09/2017	5:42:46 PM	2	99.46	27.01	81831	24			98.74
6/09/2017	5:43:01 PM	2.25	99.04	27.05	81823	24			98.73
6/09/2017	5:43:16 PM	2.5	98.95	27.06	81825	24			98.95
6/09/2017	5:43:31 PM	2.75	98.67	27.09	81838	24			98.35
6/09/2017	5:43:46 PM	3	99.21	27.04	81832	24			98.18
6/09/2017	5:44:01 PM	3.25	98.74	27.08	81853	24			98.41
6/09/2017	5:44:16 PM	3.5	98.73	27.08	81858	24			98.14
6/09/2017	5:44:31 PM	3.75	98.95	27.06	81840	24			98.17
6/09/2017	5:44:46 PM	4	98.35	27.12	81856	24			98.1
6/09/2017	5:45:01 PM	4.25	98.18	27.13	81860	24			97.98
6/09/2017	5:45:16 PM	4.5	98.41	27.11	81906	24			98.01
6/09/2017	5:45:31 PM	4.75	98.14	27.14	81904	24			97.85
6/09/2017	5:45:46 PM	5	98.17	27.13	81865	24			97.78
6/09/2017	5:46:01 PM	5.25	98.1	27.14	81914	24			97.98
6/09/2017	5:46:16 PM	5.5	97.98	27.15	81890	24			97.72
6/09/2017	5:46:31 PM	5.75	98.01	27.15	81873	24			97.67
6/09/2017	5:46:46 PM	6	97.85	27.16	81855	24			97.13
6/09/2017	5:47:01 PM	6.25	97.78	27.17	81865	24			97.58
6/09/2017	5:47:16 PM	6.5	97.98	27.15	81870	24			97.33
6/09/2017	5:47:31 PM	6.75	97.72	27.17	81880	24			97.32
