"Latest: Time (s)","Latest: Dissolved Oxygen  (mg/L)","Latest: Salinity (ppt)","Latest: Temperature (°C)","Latest: Pressure (atm)","Latest: Sin","Latest: Square","Latest: Triangle","Latest: PWM: F=1, C=0","Latest: delta(PWM)","Latest: run #","Latest: note","Latest: DO slope (mg O2/L/sec)","Latest: respir vol (L)","Latest: fish vol (L)","Latest: fish weight (kg)","Latest: VO2 (mgO2/kg/hr)","Latest: AvgDO (mg/L)","Latest: DOcor (mg/L)"
0,7.5012852442,0.239474771136,23.9120146167,0.999414281746,0,,,,,,,,,,,,7.49712730384,7.48614148241
1,7.50057978388,0.240840967875,23.9143376485,0.999710166972,0.00747991275773,1,0,1,,,,,,,,,7.49670373166,7.48565569844
2,7.50166510745,0.214492887921,23.9129438306,1.00032883608,0.0149594070153,1,0.00238663484487,1,,,,,,,,,7.49626826984,7.48642864817
3,7.49575009402,0.223470752201,23.9173575757,1.0000060522,0.0224380642958,1,0.00477326968974,1,,,,,,,,,7.49576880649,7.48551814972
4,7.49618422344,0.230301735893,23.9120146167,1.00097440385,0.0299154661694,1,0.00715990453461,1,,,,,,,,,7.49531415572,7.48474914407
5,7.49602142491,0.229911393968,23.9129438306,1.00054402534,0.0373911942763,1,0.00954653937947,1,,,,,,,,,7.49486036723,7.48431343881
6,7.49108320269,0.230106564931,23.9189836838,1.00027503877,0.0448648303505,1,0.0119331742243,1,,,,,,,,,7.49407380581,7.4835190716
7,7.49010641148,0.226007974715,23.9089946612,1.00032883608,0.0523359562429,1,0.0143198090692,1,,,,,,,,,7.49351504307,7.48314644247
8,7.49059480708,0.231863103594,23.9124792238,0.999737065629,0.059804153945,1,0.0167064439141,1,,,,,,,,,7.49350132744,7.48286477756
9,7.49075760562,0.223470752201,23.9073685247,1.00040953205,0.067269005612,1,0.0190930787589,1,,,,,,,,,7.49432128343,7.48406878316
10,7.49092040415,0.223665923164,23.9064393017,1.00097440385,0.0747300935864,1,0.0214797136038,1,,,,,,,,,7.49540004735,7.48513842122
11,7.49547876313,0.228350026267,23.9094592708,1.00051712668,0.0821870004212,1,0.0238663484487,1,,,,,,,,,7.49675252749,7.48627656789
12,7.49591289255,0.21742045236,23.9092269661,1.0011895931,0.0896393089034,1,0.0262529832936,1,,,,,,,,,7.49848308187,7.488508494
13,7.50237056777,0.234009984183,23.9115500092,1.00062472131,0.0970866020773,1,0.0286396181384,1,,,,,,,,,7.500304875,7.48956965897
14,7.5062777326,0.23674237766,23.9113177053,1.00043643071,0.104528463268,1,0.0310262529833,1,,,,,,,,,7.50200799813,7.49114738803
15,7.50714599145,0.22112870065,23.9094592708,1.00051712668,0.111964476103,1,0.0334128878282,1,,,,,,,,,7.50356144203,7.49341677346
16,7.50758012088,0.219176991024,23.9134084369,0.999925356227,0.11939422454,1,0.035799522673,1,,,,,,,,,7.50495268372,7.49489826814
17,7.50709172527,0.242207164613,23.9106207931,1.00038263339,0.126817292885,1,0.0381861575179,1,,,,,,,,,7.5058799794,7.49476853155
18,7.50660332967,0.246696096753,23.9120146167,1.00075921459,0.134233265818,1,0.0405727923628,1,,,,,,,,,7.5066868161,7.49536971887
19,7.50654906349,0.212736349257,23.9092269661,1.00083991056,0.141641728416,1,0.0429594272076,1,,,,,,,,,7.50698796357,7.49722826808
20,7.50698319292,0.226593487603,23.9073685247,1.0011895931,0.149042266176,1,0.0453460620525,1,,,,,,,,,7.50708158764,7.49668582098
21,7.50741732234,0.221323871613,23.9115500092,1.00040953205,0.15643446504,1,0.0477326968974,1,,,,,,,,,7.50744833159,7.4972950914
22,7.50698319292,0.223665923164,23.9052777709,1.00086680922,0.163817911415,1,0.0501193317422,1,,,,,,,,,7.50788305735,7.49762121656
23,7.50747158852,0.225032119902,23.9071362191,1.00051712668,0.171192192198,1,0.0525059665871,1,,,,,,,,,7.5084251228,7.49810094614
24,7.50682039438,0.223080410276,23.9069039134,1.00083991056,0.178556894799,1,0.054892601432,1,,,,,,,,,7.50938163873,7.49914696112
25,7.50758012088,0.236156864772,23.9129438306,1.00073231593,0.185911607163,1,0.0572792362768,1,,,,,,,,,7.51044549436,7.49961206194
26,7.51246407692,0.236156864772,23.9069039134,1.00110889713,0.193255917796,1,0.0596658711217,1,,,,,,,,,7.51160178139,7.5007671708
27,7.51306100488,0.233619642258,23.9085300513,1.00078611325,0.200589415783,1,0.0620525059666,1,,,,,,,,,7.51270738023,7.50198948839
28,7.51316953724,0.22854519723,23.9071362191,1.00108199847,0.207911690818,1,0.0644391408115,1,,,,,,,,,7.51386128193,7.50337592993
29,7.51816202564,0.224641777977,23.9069039134,1.00135098504,0.215222333219,1,0.0668257756563,1,,,,,,,,,7.51499371569,7.5046874043
30,7.51789069475,0.229130710117,23.9143376485,1.00075921459,0.222520933956,1,0.0692124105012,1,,,,,,,,,7.51600151615,7.50549066445
31,7.51810775946,0.22483694894,23.9103884888,1.00132408639,0.229807084675,1,0.0715990453461,1,,,,,,,,,7.51684830706,7.50653368864
32,7.51767363004,0.240645796912,23.9141053458,0.999763964286,0.237080377715,1,0.0739856801909,1,,,,,,,,,7.51693596781,7.50589684146
33,7.51821629182,0.223470752201,23.9113177053,1.00073231593,0.244340406138,1,0.0763723150358,1,,,,,,,,,7.51691986686,7.50666809557
34,7.51848762271,0.228350026267,23.9087623563,1.00089370788,0.251586763745,1,0.0787589498807,1,,,,,,,,,7.51671115079,7.50623505973
35,7.51778216239,0.214492887921,23.9148022538,1.00067851862,0.258819045103,1,0.0811455847255,1,,,,,,,,,7.51642192995,7.50658263743
36,7.51783642857,0.221519042575,23.9115500092,1.00040953205,0.266036845567,1,0.0835322195704,1,,,,,,,,,7.51621917719,7.50605698353
37,7.51219274603,0.232643787445,23.9106207931,1.0001943428,0.273239761302,1,0.0859188544153,1,,,,,,,,,7.51606353464,7.50539081438
38,7.51289820635,0.220348016799,23.911782313,0.999279788462,0.280427389306,1,0.0883054892601,1,,,,,,,,,7.51599793816,7.50588950762
39,7.51181288278,0.213907375033,23.9113177053,0.99989845757,0.287599327432,1,0.090692124105,1,,,,,,,,,7.51607247961,7.50625943042
40,7.51675110501,0.219372161986,23.9022577796,1.0001943428,0.294755174411,1,0.0930787589499,1,,,,,,,,,7.51623170016,7.50616631059
41,7.51794496093,0.21663976851,23.9050454644,1.00046332937,0.301894529874,1,0.0954653937947,1,,,,,,,,,7.51649468241,7.50655516153
