,,,,,,,,,,,,,,,,,,,,,
***********,*************,*************,**************,*************,*************,*************,*************,*************,*************,*************,*************,*************,*************,,,,,,,,
Data,from,Firesting,Logger,V2.37,with,Firesting,O2,(Firmware,3.07),---,Pyro,Science,,,,,,,,,
***********,*************,*************,**************,*************,*************,*************,*************,*************,*************,*************,*************,*************,*************,,,,,,,,
Settings:,Description,Units,Basic Mode,Sensor Code,Meas. Mode,Temp. Comp.,Temp. (°C),Press. (hPa),Salinity (‰),LED Int. (%),PD Ampl.,Meas. Time (ms),Bkdg. Comp.,Sensor Type,,,,,,,
Ch 1,Sensor 1,mg/l (ppm),yes,XB7-525-201,3,OFF,13.000,1013,0.000,15%,,10,no,X : Normal Range O2 - Robust Probe - Black Fiber,,,,,,,
Ch 2,Sensor 2,mg/l (ppm),yes,XB7-525-200,3,OFF,13.000,1013,0.000,15%,,10,no,X : Normal Range O2 - Robust Probe - Black Fiber,,,,,,,
Ch 3,Sensor 3,mg/l (ppm),yes,XB6-525-216,3,OFF,13.000,1013,0.000,15%,,10,no,X : Normal Range O2 - Robust Probe - Black Fiber,,,,,,,
Ch 4,Sensor 4,mg/l (ppm),yes,XB7-530-198,3,OFF,13.000,1013,0.000,15%,,10,no,X : Normal Range O2 - Robust Probe - Black Fiber,,,,,,,
Temp.,Sensor,Units:,'C,Measuring,Time (ms):,300,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Calibration:,Status,Temp. 0% a.s. (°C),Temp. 100% a.s. (°C),Press. (hPa),Humidity (%),dphi0 (°),dphi100 (°),f,m,F (Hz),kt (%/K),tt (%/K),Bkgd. Int. (mV),Bkgd. dphi (°),mt (1/K),,,,,,
Ch 1,1-Point,20.000,13.000,1013,0.000,52.500,22.015,0.850,0.081,4000,1.184,-0.070,0.000,0.000,-0.000370,,,,,,
Ch 2,1-Point,20.000,13.000,1013,0.000,52.500,22.294,0.850,0.081,4000,1.184,-0.070,0.000,0.000,-0.000370,,,,,,
Ch 3,1-Point,20.000,13.000,1013,0.000,52.500,23.040,0.850,0.081,4000,1.184,-0.070,0.000,0.000,-0.000370,,,,,,
Ch 4,1-Point,20.000,13.000,1013,0.000,53.000,21.914,0.850,0.081,4000,1.184,-0.070,0.000,0.000,-0.000370,,,,,,
Data,Smoothing:,3,,,,,,,,,,,,,,,,,,,
Date:,10/07/2016,,,,,,,,,,,,,,,,,,,,
,,,Oxygen,Data,,, ,Raw Data:, dphi (°),,,,Signal,Intensity,(mV),,Ambient,Light,(mV), (MainPhi->RefAmpl->RefBkgnd->RefPhi->Int. Temp.),
Time,Comment,Temperature,Ch 1,Ch 2,Ch 3,Ch 4, ,Ch 1,Ch 2,Ch 3,Ch 4,,Ch1,Ch2,Ch3,Ch4,Ch1,Ch2,Ch3,Ch4,
23:50:02,,13.51,9.7933E+00,9.5137E+00,9.5257E+00,9.5834E+00,,22.830,23.447,24.193,22.982,,232.71,253.88,231.23,190.32,6.30,6.80,5.25,7.11,
